time,open,high,low,close,volume
2006-08-20,628.7,632.7,607.0,614.2,4654
2006-08-27,614.7,630.0,613.2,622.0,4582
2006-09-03,623.0,627.5,607.2,624.7,4509
2006-09-10,628.7,640.2,606.2,610.2,6089
2006-09-17,608.7,608.7,570.2,578.7,16051
2006-09-24,582.2,592.2,571.7,589.1,16964
2006-10-01,588.6,606.5,581.7,597.7,9242
2006-10-08,598.2,603.6,559.2,573.2,18276
2006-10-15,574.6,589.7,568.7,589.6,13045
2006-10-22,592.7,602.0,585.7,591.1,11641
2006-10-29,590.5,599.7,572.2,599.2,14831
2006-11-05,598.2,629.0,597.6,626.9,15986
2006-11-12,628.2,636.2,612.7,628.2,19249
2006-11-19,628.2,632.2,614.2,621.2,17763
2006-11-26,620.7,634.2,619.7,627.9,8039
2006-12-03,640.5,649.6,632.5,645.0,12725
2006-12-10,647.0,648.2,622.7,624.6,16158
2006-12-17,625.0,630.7,614.1,614.7,11522
2006-12-24,615.6,624.2,611.1,619.2,9991
2006-12-31,624.5,636.2,623.2,636.1,5395
2007-01-07,638.2,644.7,601.5,606.7,11150
2007-01-14,608.2,627.2,603.2,626.5,14964
2007-01-21,625.6,636.2,619.7,634.7,11437
2007-01-28,635.2,654.2,631.6,645.5,14043
2007-02-04,647.1,661.0,640.7,647.2,12321
2007-02-11,648.6,668.6,645.7,666.2,11928
2007-02-18,666.6,671.5,659.6,668.5,17784
2007-02-25,667.7,688.0,655.3,682.0,15719
2007-03-04,683.3,688.1,639.1,642.0,26389
2007-03-11,643.2,657.7,632.5,648.7,24171
2007-03-18,650.1,655.1,636.5,652.7,17966
2007-03-25,653.7,666.3,651.7,656.9,15701
2007-04-01,657.2,669.0,655.0,663.2,16450
2007-04-08,664.5,675.3,655.9,673.9,17728
2007-04-15,670.6,685.4,670.3,684.6,18398
2007-04-22,686.6,693.2,678.7,691.3,20276
2007-04-29,692.8,693.3,670.4,680.9,21086
2007-05-06,681.0,690.2,667.2,688.3,16463
2007-05-13,688.5,690.4,664.0,670.5,18240
2007-05-20,671.1,674.7,653.3,661.2,18826
2007-05-27,662.8,664.9,651.5,655.5,12415
2007-06-03,655.2,671.3,651.6,671.2,12253
2007-06-10,670.9,673.6,643.6,648.2,16539
2007-06-17,649.1,655.5,642.7,654.8,14928
2007-06-24,656.0,661.8,647.5,653.6,15259
2007-07-01,653.5,653.7,639.8,649.1,15578
2007-07-08,650.1,658.3,645.0,655.3,12599
2007-07-15,656.0,668.8,653.3,666.4,19584
2007-07-22,666.8,686.4,662.3,682.7,17885
2007-07-29,683.2,687.5,656.5,660.6,21877
2007-08-05,660.8,675.1,658.8,672.5,18662
2007-08-12,673.3,676.4,657.7,672.4,20647
2007-08-19,671.8,671.8,641.6,657.2,25750
2007-08-26,656.0,668.6,652.7,668.0,24309
2007-09-02,667.7,674.5,660.7,672.8,20535
2007-09-09,672.5,706.6,671.0,700.2,20156
2007-09-16,699.6,717.0,698.7,707.0,26674
2007-09-23,706.6,739.1,706.6,730.8,35416
2007-09-30,729.9,745.4,721.6,742.9,28515
2007-10-07,743.7,747.4,720.3,742.2,28105
2007-10-14,740.6,753.4,726.3,749.3,32530
2007-10-21,747.3,771.4,747.3,764.8,42464
2007-10-28,766.4,785.5,745.0,784.7,35019
2007-11-04,788.4,807.6,776.5,806.3,46875
2007-11-11,804.2,845.4,800.6,831.6,64292
2007-11-18,829.1,831.2,782.2,785.7,65915
